"","name","subset","value","summary","b","I2","I2b","I2w","vb","lb","ub","n","sigma2_1","sigma2_2","tau2","QEE","QEp","pval","M_label"
"1",NA,"Subgroup","Category",TRUE,NA,"I² (%)","(between studies) I² (%)","(within studies) I² (%)",NA,NA,NA,"n","σ² 1","σ² 2",NA,NA,NA,NA,"Response ratio"
"2",NA,NA,"Cereal crop",FALSE,1.36158246275036,"99.89","73.54","26.35",0.00190853865201488,1.24984931477457,1.48330425192394,"293","0.0886034525273396","0.031751335259374",0,"33877.3035571275",0,1.60611164721777e-12,"1.36  [ 1.25 , 1.48 ]"
"3",NA,NA,"Cash crop",FALSE,1.28904290009678,"99.05","43.47","55.58",0.00144194620710657,1.19658822050813,1.38864111296724,"147","0.0256666078337681","0.0328153001561566",0,"5511.73124154606",0,2.28827718762874e-11,"1.29  [ 1.2 , 1.39 ]"
"4",NA,"Crop type",NA,TRUE,1.33581169329574,"99.84","67.75","32.09",0.00102783255719572,1.25445725041355,1.4224421592345,"440","0.0681256802932304","0.0322655395321601",0,"39633.1306827472",0,1.69780058294878e-19,"1.34  [ 1.25 , 1.42 ]"
"5",NA,NA,"Transparent PE",FALSE,1.33490314968537,"99.65","68.05","31.6",0.001410826184215,1.2401602450306,1.43688400445052,"252","0.0759149832276403","0.0352522677099569",0,"33130.499534695",0,1.46679167330057e-14,"1.33  [ 1.24 , 1.44 ]"
"6",NA,NA,"Black PE",FALSE,1.29038105375201,"99.63","37.7","61.93",0.00209240958195502,1.17972716991203,1.41141384749689,"64","0.0267538130586416","0.0439462504241769",0,"2803.20799287823",0,2.49994267011036e-08,"1.29  [ 1.18 , 1.41 ]"
"7",NA,NA,"Degradable",FALSE,1.29016565172577,"98.82","28.8","70.02",0.00218550223570069,1.1772056881799,1.41396480292797,"62","0.0166371380582546","0.040444759316891",0,"2264.01954544562",0,5.04508515140782e-08,"1.29  [ 1.18 , 1.41 ]"
"8",NA,NA,"Others",FALSE,1.31596511793873,"98.33","75.7","22.63",0.00763991228810034,1.10877583402909,1.56187043267221,"37","0.0546156804863333","0.0163305574927251",0,"1075.62896813012",5.48328700071675e-210,0.00168199646429301,"1.32  [ 1.11 , 1.56 ]"
"9",NA,NA,"Liquid",FALSE,1.09198771783505,"42.39","5.09","37.3",0.000319442639689854,1.05439724849754,1.13091833045065,"14","0.000194825518248215","0.00142664907277436",0,"9.2864897972142",0.051078712890887,8.49583523922594e-07,"1.09  [ 1.05 , 1.13 ]"
"10",NA,"Film type",NA,TRUE,1.33280349990295,"99.84","67.54","32.3",0.00107546378419933,1.24983187351739,1.42128329977242,"429","0.0690503385600309","0.0330230581953078",0,"39462.5918270218",0,1.94888301265606e-18,"1.33  [ 1.25 , 1.42 ]"
