,Cotton,Peanut,Maize,Vegetables,Potato,Tobacco,Others
0,5.25,61.05,9.3,0.6,45.6,16.8,12.3
1,11.4,9.75,7.05,0.6,3.82,0.45,5.5
2,54.2997714975,15.9488,10.95,17.4,29.41,0.15,12.2
3,52.6671633345,8.7162,14.1,10.5,7.869,1.74099999999999,9.7
4,46.937434686,5.8316,7.6796,4.35,38.389,1.47509999999999,11.6
5,34.015770078,1.8412,28.3438,13.65,29.001,2.60099999999999,70.2
6,27.431537157,4.2,26.6246,4.35,2.55,2.37799999999999,20.9
7,64.963724817,21.47,29.3592,22.1,27.819,7.35,12.2
8,82.1701108485,6.637,78.5386,43.9,16.3295,4.8726,26.4
9,76.713783567,11.064,84.6,43.4,15.3885,7.0013,5.9
10,1.2,14.999,0.75,30.2,15.9845,8.1409,15.8
11,24.45,22.541,26.25,38.9,13.6165,7.5,29.9
12,15.8849,7.888,14.25,34.5,24.651,5.04,31.2
13,13.546,5.975,2.25,43.1,11.569,0.7302,9.8
14,11.6272,8.279,2.4,27.5,6.6,5.5133,26.1
15,16.7375,11.432,10.8,21.1,3.3,17.6014,4.65
16,16.6623,3.0,25.512,19.4,15.15,5.1,0.45
17,6.7655,65.4,55.65,22.8,6.0,2.3583,13.5
18,37.05,12.45,17.7755,14.0,120.0,56.4077,42.6028
19,5.85,0.15,29.293,5.4,0.9,2.4624,38.7861
20,36.5249166666667,37.7022885105,31.0445,4.95,4.54,22.5871,32.195
21,61.2248888888889,55.5369776835,32.6985,4.95,16.61,27.8852,
22,55.0007222222222,34.220971104,39.3525,4.8,23.85,72.5421,
23,62.0405555555556,59.0467952325,68.0875,4.65,0.45,18.0,
24,9.09583333333333,34.463772318,11.55,11.25,10.8,0.846,
25,40.1178888888889,20.5594027965,11.1,28.3836,6.9,0.586125,
26,12.3,52.885664427,6.0,24.1354,45.45,0.472875,
27,22.8,20.1,1.95,30.045,19.35,0.487125,
28,16.5,20.55,36.45,7.05,7.05,6.45,
29,0.7479,18.3,16.5,4.35,2.7,,
30,7.9788,17.2453,8.25,4.35,1.05,,
31,3.1409,19.1252,30.15,8.1,,,
32,6.6741,24.6725,14.2,41.55,,,
33,4.6466,12.7046,41.9,67.8,,,
34,2.4599,28.4604,122.4,67.95,,,
35,2.8167,31.2574,1.4,2.7,,,
36,3.8544,31.962,9.1,2.85,,,
37,4.2919,21.5845,140.1,7.2,,,
38,7.7843,37.3434,76.05,1.65,,,
39,2.5549,20.85,25.2,1.2,,,
40,6.8991,18.3,37.95,6.6,,,
41,5.2313,21.75,130.05,11.55,,,
42,3.9043,66.75,19.0,37.95,,,
43,2.8922,16.05,21.9,48.45,,,
44,0.6,67.0785,33.4,1.05,,,
45,15.4,44.4307777777778,26.1,24.75,,,
46,18.7,49.759,17.2,25.05,,,
47,8.4,37.623,47.0,62.85,,,
48,17.1,58.95,20.2,21.6,,,
49,37.0,9.6,25.3,1.8,,,
50,13.4,4.8,1.5,2.7,,,
51,17.1,5.85,14.1,34.5,,,
52,15.4,3.6,28.5,19.05,,,
53,208.05,3.0,48.3,25.05,,,
54,17.85,6.9,58.6,5.25,,,
55,73.3105,40.796,18.6,13.65,,,
56,63.2035,6.9084,11.8,18.45,,,
57,83.17,5.4668,14.7,52.5,,,
58,79.8185,30.115,15.9,10.35,,,
59,53.102,63.1863,33.5,15.0,,,
60,64.2755,15.456,7.3,4.8,,,
61,69.7195,,11.3,14.25,,,
62,78.5355,,31.0,42.45,,,
63,71.7745,,31.1,27.0,,,
64,74.1515,,0.6,26.85,,,
65,73.879,,1.95,36.75,,,
66,78.1485,,15.75,77.1,,,
67,75.7265,,3.0,33.15,,,
68,59.496,,1.8,4.8,,,
69,78.948,,2.4,4.65,,,
70,74.1365,,3.0,1.8,,,
71,69.2325,,3.45,23.85,,,
72,62.3575,,3.45,29.25,,,
73,66.4305,,3.15,40.2,,,
74,90.863,,1.65,5.4,,,
75,76.4225,,1.65,6.0,,,
76,87.2775,,12.1738,5.4,,,
77,73.4575,,18.2012,1.0749,,,
78,71.5025,,3.6,1.9256,,,
79,150.471,,15.9,1.9749,,,
80,291.373,,3.4811,5.9715,,,
81,166.2095,,9.8092,1.0956,,,
82,130.526,,19.2029,3.6664,,,
83,107.9065,,17.0772,3.2895,,,
84,118.582,,38.283,1.6864,,,
85,249.72,,7.1927,4.0078,,,
86,95.7645,,5.7,2.056,,,
87,247.5615,,13.8037,0.9885,,,
88,232.16,,11.0606,1.0749,,,
89,142.462,,4.6296,2.2955,,,
90,50.767,,5.4,1.3716,,,
91,147.814,,134.1,2.7485,,,
92,286.316,,0.22875,4.35,,,
93,163.255,,0.252,3.6,,,
94,129.6575,,0.9055,23.55,,,
95,103.603,,0.3185,25.95,,,
96,107.664,,8.1,9.15,,,
97,218.6575,,11.1,27.75,,,
98,85.289,,1.95,6.75,,,
99,246.6005,,,11.7117,,,
100,277.1085,,,15.6387,,,
101,133.909,,,9.9095,,,
102,49.1745,,,8.1363,,,
103,152.084,,,7.9529,,,
104,289.028,,,11.0684,,,
105,160.565,,,11.4396,,,
106,135.803,,,10.3949,,,
107,112.648,,,8.4959,,,
108,219.222,,,8.013,,,
109,82.289,,,12.1912,,,
110,110.016,,,12.1476,,,
111,243.455,,,0.75,,,
112,317.348,,,54.15,,,
113,157.942,,,17.72,,,
114,51.297,,,20.7,,,
115,130.7775,,,16.1,,,
116,92.8223333333333,,,10.5,,,
117,94.686,,,2.25,,,
118,78.8445,,,27.6,,,
119,78.1288333333333,,,2.0359,,,
120,82.492,,,8.4498,,,
121,63.2998333333333,,,6.6673,,,
122,51.8151666666667,,,7.95,,,
123,59.2986666666667,,,59.1,,,
124,51.7295,,,2.25,,,
125,97.1251666666667,,,30.615,,,
126,108.9515,,,86.4,,,
127,72.5933333333333,,,160.05,,,
128,96.4163333333333,,,18.1,,,
129,140.816833333333,,,29.0,,,
130,90.4251666666667,,,13.7,,,
131,101.607666666667,,,45.3,,,
132,111.772,,,19.7,,,
133,131.099666666667,,,6.4,,,
134,118.597166666667,,,35.4,,,
135,115.413666666667,,,33.7,,,
136,112.575333333333,,,19.5,,,
137,141.142166666667,,,12.9,,,
138,133.966833333333,,,5.6,,,
139,123.084833333333,,,10.8,,,
140,101.502833333333,,,58.8,,,
141,54.75,,,3.2,,,
142,16.35,,,18.7,,,
143,59.8,,,17.5,,,
144,9.7,,,40.9,,,
145,29.4333333333333,,,6.6,,,
146,28.0666666666667,,,110.3,,,
147,63.7333333333333,,,4.8,,,
148,24.1666666666667,,,21.4,,,
149,78.4666666666667,,,10.5,,,
150,30.2,,,16.5,,,
151,80.9833333333333,,,30.8,,,
152,38.7,,,150.15,,,
153,28.9,,,37.26,,,
154,116.55,,,32.89,,,
155,96.75,,,36.89,,,
156,108.75,,,23.38,,,
157,99.15,,,30.5,,,
158,145.35,,,6.46,,,
159,144.9,,,4.24,,,
160,144.0,,,20.35,,,
161,93.45,,,1.931,,,
162,123.75,,,7.95,,,
163,97.65,,,13.35,,,
164,110.1,,,1.35,,,
165,106.35,,,2.62,,,
166,14.5995,,,2.25,,,
167,19.6278,,,5.68,,,
168,10.8862,,,7.02,,,
169,12.3101,,,1.38,,,
170,9.6575,,,1.84,,,
171,10.1855,,,1.39,,,
172,,,,6.61,,,
173,,,,34.3,,,
174,,,,19.55,,,
175,,,,31.05,,,
176,,,,17.25,,,
177,,,,26.0,,,
178,,,,22.2,,,
179,,,,22.6,,,
180,,,,27.28,,,
181,,,,35.7,,,
182,,,,31.28,,,
183,,,,4.35,,,
