,≤5,5-10,10-20,>20
0,9.75,17.4,45.6,61.05
1,4.35,10.5,0.45,0.6
2,16.8,0.15,5.4,0.6
3,4.35,13.65,4.95,7.869
4,22.1,43.9,78.5386,6.6
5,43.4,4.8,28.3836,34.220971104
6,30.2,28.3438,21.47,46.937434686
7,38.9,15.9488,11.432,34.015770078
8,34.5,1.8412,1.65,20.5594027965
9,43.1,30.045,12.45,52.885664427
10,27.5,2.85,59.0467952325,15.8849
11,21.1,29.41,34.463772318,13.546
12,19.4,38.389,52.6671633345,11.6272
13,22.8,6.637,76.713783567,16.7375
14,14.0,48.45,19.05,16.6623
15,4.95,55.5369776835,20.1,6.7655
16,4.65,54.2997714975,1.2,12.7046
17,11.25,82.1701108485,20.55,31.2574
18,9.3,62.85,19.1252,2.4
19,7.05,1.8,24.6725,11.55
20,10.95,24.45,37.3434,11.1
21,14.1,18.3,13.65,12.3
22,26.6246,28.4604,2.55,20.85
23,29.3592,5.25,2.25,18.3
24,8.7162,25.512,10.8,21.75
25,5.8316,31.0445,17.7755,66.75
26,4.2,39.3525,27.819,16.05
27,24.1354,68.0875,13.6165,58.95
28,7.05,11.569,6.0,77.1
29,4.35,1.95,36.5249166666667,1.8
30,4.35,52.5,61.2248888888889,23.85
31,8.1,10.35,55.0007222222222,0.9885
32,41.55,5.85,67.0785,9.9095
33,2.7,6.6,8.25,8.1363
34,84.6,44.4307777777778,42.45,7.9529
35,29.001,4.8,26.85,11.0684
36,11.064,36.45,36.75,10.3949
37,14.999,12.3,5.4,8.4959
38,22.541,16.5,6.0,8.013
39,7.888,27.0,1.0749,12.1912
40,5.975,22.8,3.8544,2.0359
41,8.279,16.5,4.2919,30.615
42,3.0,5.4,7.7843,13.7
43,0.15,9.6,2.5549,19.7
44,5.25,0.7479,6.8991,18.7
45,37.95,7.9788,3.2895,8.4
46,11.4,3.1409,1.6864,17.1
47,0.75,5.2313,4.0078,37.0
48,37.7022885105,3.9043,1.0749,15.4
49,27.431537157,2.056,2.2955,208.05
50,64.963724817,3.6,1.3716,122.4
51,34.5,27.75,2.7485,120.0
52,26.25,1.74099999999999,23.55,14.1
53,17.2453,2.60099999999999,25.95,33.5
54,31.962,15.6387,9.15,70.2
55,21.5845,10.5,6.75,15.8
56,25.05,27.6,1.47509999999999,29.9
57,18.45,6.6673,11.4396,31.2
58,14.25,59.1,12.1476,9.8
59,55.65,160.05,54.15,110.3
