,Reference,CKmean,CKsd,CKn,Tmean,Tsd,Tn,Residual_film_kg_ha,quantile,Crop_type,Residual_film_class_kg_ha,name
16,97a,45.8677685950413,1.4876033057851,4.0,50.0826446280992,2.7272727272727,4.0,90,49-225,Cotton,≤150,Plant_height_cm
17,97a,45.8677685950413,1.4876033057851,4.0,46.3636363636364,0.743801652892501,4.0,180,49-225,Cotton,150-320,Plant_height_cm
18,97a,45.8677685950413,1.4876033057851,4.0,44.8760330578512,2.4793388429752,4.0,360,225-600,Cotton,320-500,Plant_height_cm
19,97a,45.8677685950413,1.4876033057851,4.0,44.3801652892562,2.4793388429752,4.0,540,225-600,Cotton,500-1000,Plant_height_cm
20,97a,45.8677685950413,1.4876033057851,4.0,41.1570247933884,3.9669421487604,4.0,720,600-2700,Cotton,500-1000,Plant_height_cm
21,97a,45.8677685950413,1.4876033057851,4.0,35.2066115702479,0.991735537190102,4.0,900,600-2700,Cotton,500-1000,Plant_height_cm
22,97b,111.074380165289,2.479338842975,4.0,104.132231404959,3.47107438016499,4.0,90,49-225,Maize,≤150,Plant_height_cm
23,97b,111.074380165289,2.479338842975,4.0,99.6694214876033,2.47933884297569,4.0,180,49-225,Maize,150-320,Plant_height_cm
24,97b,111.074380165289,2.479338842975,4.0,96.198347107438,3.96694214876,4.0,360,225-600,Maize,320-500,Plant_height_cm
25,97b,111.074380165289,2.479338842975,4.0,98.1818181818182,0.991735537190095,4.0,540,225-600,Maize,500-1000,Plant_height_cm
26,97b,111.074380165289,2.479338842975,4.0,98.6776859504132,0.49586776859509,4.0,720,600-2700,Maize,500-1000,Plant_height_cm
27,97b,111.074380165289,2.479338842975,4.0,82.3140495867769,2.9752066115702,4.0,900,600-2700,Maize,500-1000,Plant_height_cm
28,98,120.3,3.9,3.0,118.9,2.4,3.0,80,49-225,Tomato,≤150,Plant_height_cm
29,98,120.3,3.9,3.0,114.2,1.2,3.0,160,49-225,Tomato,150-320,Plant_height_cm
30,98,120.3,3.9,3.0,109.3,2.4,3.0,320,225-600,Tomato,150-320,Plant_height_cm
31,98,120.3,3.9,3.0,102.1,2.1,3.0,640,600-2700,Tomato,500-1000,Plant_height_cm
32,98,120.3,3.9,3.0,91.6,1.7,3.0,1280,600-2700,Tomato,>1000,Plant_height_cm
105,110,246.585181451613,6.476814516129,3.0,249.48966733871,4.81980846774201,3.0,50,49-225,Maize,≤150,Plant_height_cm
106,110,246.585181451613,6.476814516129,3.0,239.434223790323,3.28251008064501,3.0,100,49-225,Maize,≤150,Plant_height_cm
107,110,246.585181451613,6.476814516129,3.0,242.401713709677,6.40120967741999,3.0,200,49-225,Maize,150-320,Plant_height_cm
108,110,246.585181451613,6.476814516129,3.0,237.166078629032,9.65851814516199,3.0,500,225-600,Maize,320-500,Plant_height_cm
