,Reference,CKmean,CKsd,CKn,Tmean,Tsd,Tn,Residual_film_kg_ha,quantile,Crop_type,Residual_film_class_kg_ha,name
16,97a,1.02,0.22,4.0,1.02,0.23,4.0,90,49-225,Cotton,≤150,Root_weight_g
17,97a,1.02,0.22,4.0,1.12,0.24,4.0,180,49-225,Cotton,150-320,Root_weight_g
18,97a,1.02,0.22,4.0,1.04,0.25,4.0,360,225-600,Cotton,320-500,Root_weight_g
19,97a,1.02,0.22,4.0,1.0,0.27,4.0,540,225-600,Cotton,500-1000,Root_weight_g
20,97a,1.02,0.22,4.0,1.0,0.28,4.0,720,600-2700,Cotton,500-1000,Root_weight_g
21,97a,1.02,0.22,4.0,0.86,0.07,4.0,900,600-2700,Cotton,500-1000,Root_weight_g
22,97b,2.89,0.21,4.0,2.91,0.12,4.0,90,49-225,Maize,≤150,Root_weight_g
23,97b,2.89,0.21,4.0,2.94,0.16,4.0,180,49-225,Maize,150-320,Root_weight_g
24,97b,2.89,0.21,4.0,2.24,0.36,4.0,360,225-600,Maize,320-500,Root_weight_g
25,97b,2.89,0.21,4.0,1.95,0.16,4.0,540,225-600,Maize,500-1000,Root_weight_g
26,97b,2.89,0.21,4.0,1.91,0.31,4.0,720,600-2700,Maize,500-1000,Root_weight_g
27,97b,2.89,0.21,4.0,1.38,0.17,4.0,900,600-2700,Maize,500-1000,Root_weight_g
28,98,27.3,0.7,3.0,26.9,0.6,3.0,80,49-225,Tomato,≤150,Root_weight_g
29,98,27.3,0.7,3.0,24.1,0.5,3.0,160,49-225,Tomato,150-320,Root_weight_g
30,98,27.3,0.7,3.0,20.1,1.0,3.0,320,225-600,Tomato,150-320,Root_weight_g
31,98,27.3,0.7,3.0,18.2,0.6,3.0,640,600-2700,Tomato,500-1000,Root_weight_g
32,98,27.3,0.7,3.0,16.2,0.8,3.0,1280,600-2700,Tomato,>1000,Root_weight_g
85,106,50.25,0.950000000000003,3.0,47.677,1.203,3.0,180,49-225,Maize,150-320,Root_weight_g
86,106,50.25,0.950000000000003,3.0,47.98,1.19,3.0,360,225-600,Maize,320-500,Root_weight_g
87,106,50.25,0.950000000000003,3.0,44.21,0.719999999999999,3.0,720,600-2700,Maize,500-1000,Root_weight_g
105,110,23.4920634920635,8.6772486772487,3.0,22.4338624338624,7.4074074074074,3.0,50,49-225,Maize,≤150,Root_weight_g
106,110,23.4920634920635,8.6772486772487,3.0,24.973544973545,8.2539682539682,3.0,100,49-225,Maize,≤150,Root_weight_g
107,110,23.4920634920635,8.6772486772487,3.0,25.3968253968254,9.5238095238095,3.0,200,49-225,Maize,150-320,Root_weight_g
108,110,23.4920634920635,8.6772486772487,3.0,25.8201058201058,10.3703703703704,3.0,500,225-600,Maize,320-500,Root_weight_g
