,Reference,CKmean,CKsd,CKn,Tmean,Tsd,Tn,Residual_film_kg_ha,quantile,Crop_type,Residual_film_class_kg_ha,name
0,94a,9.68125310775925,0.19000032200571,3.0,9.10079253598782,0.19000032200571,3.0,50,49-225,,≤150,Soil_water_evaporation_capacity_mm
1,94a,9.68125310775925,0.19000032200571,3.0,8.4374090253919,0.0950001610028545,3.0,100,49-225,,≤150,Soil_water_evaporation_capacity_mm
2,94a,9.68125310775925,0.19000032200571,3.0,8.25083241303679,0.156513614752746,3.0,200,49-225,,150-320,Soil_water_evaporation_capacity_mm
3,94a,9.68125310775925,0.19000032200571,3.0,8.06425580068169,0.218411842905954,3.0,400,225-600,,320-500,Soil_water_evaporation_capacity_mm
4,94b,4.21877663949343,0.183944128744758,3.0,3.86222203054796,0.189883742599185,3.0,50,49-225,,≤150,Soil_water_evaporation_capacity_mm
5,94b,4.21877663949343,0.183944128744758,3.0,3.55119183325303,0.217134890937781,3.0,100,49-225,,≤150,Soil_water_evaporation_capacity_mm
6,94b,4.21877663949343,0.183944128744758,3.0,3.34099309266159,0.217047317047186,3.0,200,49-225,,150-320,Soil_water_evaporation_capacity_mm
7,94b,4.21877663949343,0.183944128744758,3.0,2.87484741409673,0.162446104314145,3.0,400,225-600,,320-500,Soil_water_evaporation_capacity_mm
12,96a,163.8,10.5879590712774,3.0,178.2,12.6939480921537,3.0,225,49-225,Cotton,150-320,Soil_water_evaporation_capacity_mm
13,96a,163.8,10.5879590712774,3.0,198.0,14.1043867690597,3.0,450,225-600,Cotton,320-500,Soil_water_evaporation_capacity_mm
14,96b,176.4,11.4024174613757,3.0,187.2,13.3350565816564,3.0,225,49-225,Cotton,150-320,Soil_water_evaporation_capacity_mm
15,96b,176.4,11.4024174613757,3.0,198.0,14.1043867690597,3.0,450,225-600,Cotton,320-500,Soil_water_evaporation_capacity_mm
33,99,84.0,7.06837038466353,3.0,82.8,6.88895021413562,3.0,80,49-225,Tomato,≤150,Soil_water_evaporation_capacity_mm
34,99,84.0,7.06837038466353,3.0,80.9,7.24611334173494,3.0,160,49-225,Tomato,150-320,Soil_water_evaporation_capacity_mm
35,99,84.0,7.06837038466353,3.0,74.4,5.16149664933204,3.0,320,225-600,Tomato,150-320,Soil_water_evaporation_capacity_mm
36,99,84.0,7.06837038466353,3.0,63.7,7.95056299668235,3.0,640,600-2700,Tomato,500-1000,Soil_water_evaporation_capacity_mm
37,99,84.0,7.06837038466353,3.0,56.1,6.61799491572504,3.0,1280,600-2700,Tomato,>1000,Soil_water_evaporation_capacity_mm
38,100,176.805811481219,4.50240457628789,3.0,184.248886301509,7.4907613647872,3.0,225,49-225,Cotton,150-320,Soil_water_evaporation_capacity_mm
39,100,176.805811481219,4.50240457628789,3.0,206.673483851372,7.49870912220308,3.0,450,225-600,Cotton,320-500,Soil_water_evaporation_capacity_mm
40,100,153.88295262225,8.87649338554164,3.0,164.191393692982,8.8804490421289,3.0,225,49-225,Cotton,150-320,Soil_water_evaporation_capacity_mm
41,100,153.88295262225,8.87649338554164,3.0,174.499834763713,11.8392801706425,3.0,450,225-600,Cotton,320-500,Soil_water_evaporation_capacity_mm
42,101,76.1963190184049,6.91838507823774,3.0,75.2760736196319,7.18498943408955,3.0,80,49-225,,≤150,Soil_water_evaporation_capacity_mm
43,101,76.1963190184049,6.91838507823774,3.0,73.2515337423313,6.35169346996464,3.0,160,49-225,,150-320,Soil_water_evaporation_capacity_mm
44,101,76.1963190184049,6.91838507823774,3.0,68.0981595092025,4.97953960434432,3.0,320,225-600,,150-320,Soil_water_evaporation_capacity_mm
45,101,76.1963190184049,6.91838507823774,3.0,60.1840490797546,8.02040192742376,3.0,640,600-2700,,500-1000,Soil_water_evaporation_capacity_mm
46,101,76.1963190184049,6.91838507823774,3.0,52.0858895705521,6.65637103804609,3.0,1280,600-2700,,>1000,Soil_water_evaporation_capacity_mm
