,Reference,CKmean,CKsd,CKn,Tmean,Tsd,Tn,Residual_film_kg_ha,quantile,Crop_type,Residual_film_class_kg_ha,name
0,94a,4.98850574712644,0.42138627080053,3.0,4.59770114942529,0.484397873694373,3.0,50,49-225,,≤150,Soil_water_infiltration_rate_mm_min
1,94a,4.98850574712644,0.42138627080053,3.0,4.13793103448276,0.316039703100406,3.0,100,49-225,,≤150,Soil_water_infiltration_rate_mm_min
2,94a,4.98850574712644,0.42138627080053,3.0,3.83908045977011,0.26109923428967,3.0,200,49-225,,150-320,Soil_water_infiltration_rate_mm_min
3,94a,4.98850574712644,0.42138627080053,3.0,3.54022988505747,0.15926903977645,3.0,400,225-600,,320-500,Soil_water_infiltration_rate_mm_min
4,94b,0.913070814200976,0.0160410197062626,3.0,0.845096190019738,0.0161097892869092,3.0,50,49-225,,≤150,Soil_water_infiltration_rate_mm_min
5,94b,0.913070814200976,0.0160410197062626,3.0,0.717521374128415,0.0404861222775576,3.0,100,49-225,,≤150,Soil_water_infiltration_rate_mm_min
6,94b,0.913070814200976,0.0160410197062626,3.0,0.674773117298743,0.027055858752957,3.0,200,49-225,,150-320,Soil_water_infiltration_rate_mm_min
7,94b,0.913070814200976,0.0160410197062626,3.0,0.598449828130878,0.00150756301194157,3.0,400,225-600,,320-500,Soil_water_infiltration_rate_mm_min
33,99,1.09826589595376,0.06936416184971,3.0,1.05202312138729,0.0800948350320885,3.0,80,49-225,Tomato,≤150,Soil_water_infiltration_rate_mm_min
34,99,1.09826589595376,0.06936416184971,3.0,0.797687861271676,0.0400474175160435,3.0,160,49-225,Tomato,150-320,Soil_water_infiltration_rate_mm_min
35,99,1.09826589595376,0.06936416184971,3.0,0.612716763005781,8.49837472194074e-17,3.0,320,225-600,Tomato,150-320,Soil_water_infiltration_rate_mm_min
36,99,1.09826589595376,0.06936416184971,3.0,0.566473988439307,0.0400474175160434,3.0,640,600-2700,Tomato,500-1000,Soil_water_infiltration_rate_mm_min
37,99,1.09826589595376,0.06936416184971,3.0,0.3121387283237,0.0400474175160434,3.0,1280,600-2700,Tomato,>1000,Soil_water_infiltration_rate_mm_min
42,101,0.917355376533754,0.0361887777765322,3.0,0.857890413784411,0.0424592132700524,3.0,80,49-225,,≤150,Soil_water_infiltration_rate_mm_min
43,101,0.917355376533754,0.0361887777765322,3.0,0.59961048976043,0.0258090113959226,3.0,160,49-225,,150-320,Soil_water_infiltration_rate_mm_min
44,101,0.917355376533754,0.0361887777765322,3.0,0.487014636719786,0.0191777009781102,3.0,320,225-600,,150-320,Soil_water_infiltration_rate_mm_min
45,101,0.917355376533754,0.0361887777765322,3.0,0.273096893351102,0.0152150439388323,3.0,640,600-2700,,500-1000,Soil_water_infiltration_rate_mm_min
46,101,0.917355376533754,0.0361887777765322,3.0,0.207740850902729,0.0084339782985693,3.0,1280,600-2700,,>1000,Soil_water_infiltration_rate_mm_min
47,102,0.193,0.0172026862026862,3.0,0.254166666666667,0.0238743419229703,3.0,90,49-225,,≤150,Soil_water_infiltration_rate_mm_min
48,102,0.193,0.0172026862026862,3.0,0.245,0.0230133000831255,3.0,180,49-225,,150-320,Soil_water_infiltration_rate_mm_min
49,102,0.193,0.0172026862026862,3.0,0.2645,0.0248449709060682,3.0,360,225-600,,320-500,Soil_water_infiltration_rate_mm_min
50,102,0.193,0.0172026862026862,3.0,0.230833333333333,0.0216825990579108,3.0,540,225-600,,500-1000,Soil_water_infiltration_rate_mm_min
51,102,0.193,0.0172026862026862,3.0,0.237,0.0222618453865337,3.0,720,600-2700,,500-1000,Soil_water_infiltration_rate_mm_min
52,102,0.193,0.0172026862026862,3.0,0.181166666666667,0.0170173178165697,3.0,900,600-2700,,500-1000,Soil_water_infiltration_rate_mm_min
83,105,4.88963210702341,0.435828014423332,3.0,4.35774175517049,0.409330688557161,3.0,50,49-225,,≤150,Soil_water_infiltration_rate_mm_min
84,105,4.88963210702341,0.435828014423332,3.0,3.99351738012742,0.375118423902243,3.0,200,49-225,,150-320,Soil_water_infiltration_rate_mm_min
98,108a,0.193,0.104,3.0,0.179,0.063,3.0,50,49-225,,≤150,Soil_water_infiltration_rate_mm_min
99,108a,0.193,0.104,3.0,0.104,0.146,3.0,200,49-225,,150-320,Soil_water_infiltration_rate_mm_min
100,108b,0.98,0.36,3.0,0.67,0.23,3.0,50,49-225,,≤150,Soil_water_infiltration_rate_mm_min
101,108b,0.98,0.36,3.0,0.8,0.44,3.0,200,49-225,,150-320,Soil_water_infiltration_rate_mm_min
