,Reference,CKmean,CKsd,CKn,Tmean,Tsd,Tn,Crop_classification,Film_type,Film_thickness_mm,Mulching_cycle,Mulching_method,Mulching_ratio（,Film_thickness_class_mm,Mulching_ratio_class_,name
0,1,9.47,4.82471760831657,3.0,16.0233333333333,8.09227615280974,3.0,Cereal crop,Transparent PE,,Seedling stage,,100.0,,50-100,Temperature_C
1,1,9.47,4.82471760831657,3.0,7.47666666666667,5.08431247400603,3.0,Cereal crop,Black PE,,Seedling stage,,100.0,,50-100,Temperature_C
10,3,17.7944466666667,3.05183899955337,3.0,20.9429,3.46731,3.0,Cereal crop,Transparent PE,0.008,Whole year,Flat mulching,100.0,0.003-0.008,50-100,Temperature_C
11,3,17.7944466666667,3.05183899955337,3.0,21.3633933333333,3.53692694605809,3.0,Cereal crop,Transparent PE,0.008,Full growing season,Flat mulching,100.0,0.003-0.008,50-100,Temperature_C
12,3,17.7944466666667,3.05183899955337,3.0,19.1891333333333,3.17695609958506,3.0,Cereal crop,Transparent PE,0.008,Whole year,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Temperature_C
13,3,17.7944466666667,3.05183899955337,3.0,19.2297666666667,3.18368336099585,3.0,Cereal crop,Transparent PE,0.008,Full growing season,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Temperature_C
14,3,18.9139533333333,3.24384014292095,3.0,21.755,3.60176141078838,3.0,Cereal crop,Transparent PE,0.008,Whole year,Flat mulching,100.0,0.003-0.008,50-100,Temperature_C
15,3,18.9139533333333,3.24384014292095,3.0,22.11394,3.66118757676349,3.0,Cereal crop,Transparent PE,0.008,Full growing season,Flat mulching,100.0,0.003-0.008,50-100,Temperature_C
16,3,18.9139533333333,3.24384014292095,3.0,19.89844,3.29438902904564,3.0,Cereal crop,Transparent PE,0.008,Whole year,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Temperature_C
17,3,18.9139533333333,3.24384014292095,3.0,20.06258,3.3215640746888,3.0,Cereal crop,Transparent PE,0.008,Full growing season,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Temperature_C
18,3,18.7441933333333,3.21472543099598,3.0,21.2868133333333,3.52424834854772,3.0,Cereal crop,Transparent PE,0.008,Whole year,Flat mulching,100.0,0.003-0.008,50-100,Temperature_C
