,Reference,CKmean,CKsd,CKn,Tmean,Tsd,Tn,Crop_classification,Film_type,Film_thickness_mm,Mulching_cycle,Mulching_method,Mulching_ratio（,Film_thickness_class_mm,Mulching_ratio_class_,name
0,1,20.1,2.05,3.0,36.7,6.98,3.0,Cereal crop,Transparent PE,,Seedling stage,,100.0,,50-100,Yield_t_ha
1,1,20.1,2.05,3.0,26.8,5.82,3.0,Cereal crop,Black PE,,Seedling stage,,100.0,,50-100,Yield_t_ha
2,1,35.1,3.32,3.0,35.3,2.04,3.0,Cereal crop,Transparent PE,,Seedling stage,,100.0,,50-100,Yield_t_ha
3,1,35.1,3.32,3.0,38.2,2.17,3.0,Cereal crop,Black PE,,Seedling stage,,100.0,,50-100,Yield_t_ha
4,1,5.6,0.74,3.0,24.7,1.1,3.0,Cereal crop,Transparent PE,,Seedling stage,,100.0,,50-100,Yield_t_ha
5,1,5.6,0.74,3.0,16.2,0.47,3.0,Cereal crop,Black PE,,Seedling stage,,100.0,,50-100,Yield_t_ha
6,1,25.2,0.68,3.0,30.2,0.69,3.0,Cereal crop,Transparent PE,,Seedling stage,,100.0,,50-100,Yield_t_ha
7,1,25.2,0.68,3.0,36.3,0.47,3.0,Cereal crop,Black PE,,Seedling stage,,,,,Yield_t_ha
10,3,11.18,0.689383378016086,3.0,15.76,0.83528,3.0,Cereal crop,Transparent PE,0.008,Whole year,Flat mulching,100.0,0.003-0.008,50-100,Yield_t_ha
11,3,11.18,0.689383378016086,3.0,15.0,0.795,3.0,Cereal crop,Transparent PE,0.008,Full growing season,Flat mulching,100.0,0.003-0.008,50-100,Yield_t_ha
12,3,11.18,0.689383378016086,3.0,14.23,0.75419,3.0,Cereal crop,Transparent PE,0.008,Whole year,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Yield_t_ha
13,3,11.18,0.689383378016086,3.0,13.71,0.72663,3.0,Cereal crop,Transparent PE,0.008,Full growing season,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Yield_t_ha
14,3,8.6,0.53029490616622,3.0,15.02,0.79606,3.0,Cereal crop,Transparent PE,0.008,Whole year,Flat mulching,100.0,0.003-0.008,50-100,Yield_t_ha
15,3,8.6,0.53029490616622,3.0,14.53,0.77009,3.0,Cereal crop,Transparent PE,0.008,Full growing season,Flat mulching,100.0,0.003-0.008,50-100,Yield_t_ha
16,3,8.6,0.53029490616622,3.0,12.81,0.67893,3.0,Cereal crop,Transparent PE,0.008,Whole year,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Yield_t_ha
17,3,8.6,0.53029490616622,3.0,12.65,0.67045,3.0,Cereal crop,Transparent PE,0.008,Full growing season,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Yield_t_ha
18,3,10.15,0.625871313672922,3.0,14.65,0.77645,3.0,Cereal crop,Transparent PE,0.008,Whole year,Flat mulching,100.0,0.003-0.008,50-100,Yield_t_ha
19,3,10.15,0.625871313672922,3.0,13.38,0.70914,3.0,Cereal crop,Transparent PE,0.008,Full growing season,Flat mulching,100.0,0.003-0.008,50-100,Yield_t_ha
20,3,10.15,0.625871313672922,3.0,12.56,0.66568,3.0,Cereal crop,Transparent PE,0.008,Whole year,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Yield_t_ha
21,3,10.15,0.625871313672922,3.0,11.15,0.59095,3.0,Cereal crop,Transparent PE,0.008,Full growing season,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Yield_t_ha
22,4,13.47,0.83058981233244,3.0,14.98,0.79394,3.0,Cereal crop,Transparent PE,0.008,Whole year,Flat mulching,41.7,0.003-0.008,29-50,Yield_t_ha
23,4,13.47,0.83058981233244,3.0,16.2,0.8586,3.0,Cereal crop,Transparent PE,0.008,Whole year,Ridge-furrow mulching,83.3,0.003-0.008,50-100,Yield_t_ha
24,4,13.47,0.83058981233244,3.0,15.9,0.8427,3.0,Cereal crop,Transparent PE,0.008,Whole year,Ridge-furrow mulching,100.0,0.003-0.008,50-100,Yield_t_ha
25,4,13.47,0.83058981233244,3.0,12.96,0.68688,3.0,Cereal crop,Transparent PE,0.008,Whole year,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Yield_t_ha
26,4,9.59,0.591340482573727,3.0,11.17,0.59201,3.0,Cereal crop,Transparent PE,0.008,Whole year,Flat mulching,41.7,0.003-0.008,29-50,Yield_t_ha
27,4,9.59,0.591340482573727,3.0,13.51,0.71603,3.0,Cereal crop,Transparent PE,0.008,Whole year,Ridge-furrow mulching,83.3,0.003-0.008,50-100,Yield_t_ha
28,4,9.59,0.591340482573727,3.0,13.67,0.72451,3.0,Cereal crop,Transparent PE,0.008,Whole year,Ridge-furrow mulching,100.0,0.003-0.008,50-100,Yield_t_ha
29,4,9.59,0.591340482573727,3.0,13.42,0.71126,3.0,Cereal crop,Transparent PE,0.008,Whole year,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Yield_t_ha
34,6,51.2,3.15710455764075,3.0,62.4,3.3072,3.0,Cereal crop,Black PE,0.008,,,,0.003-0.008,,Yield_t_ha
35,6,51.2,3.15710455764075,3.0,63.0,3.339,3.0,Cereal crop,Transparent PE,0.008,,,,0.003-0.008,,Yield_t_ha
36,6,62.2,3.83538873994638,3.0,82.7,4.3831,3.0,Cereal crop,Black PE,0.008,,,,0.003-0.008,,Yield_t_ha
37,6,62.2,3.83538873994638,3.0,82.0,4.346,3.0,Cereal crop,Transparent PE,0.008,,,,0.003-0.008,,Yield_t_ha
38,7,4.67,0.287962466487936,3.0,9.73,0.51569,3.0,Cereal crop,Transparent PE,0.008,Whole year,Ridge-furrow mulching,100.0,0.003-0.008,50-100,Yield_t_ha
